<p>a                             一个
abstinence                       弃权
abstinent                        节制
abstract                         禁欲
abstracted                       抽象的
abstractedness                   抽象的
abstraction                      抽象性
abstractness                     抽象
abstruse                         抽象性
abstruseness                     奥
absurd                           深奥
absurdist                        荒诞
absurdity                        荒诞的
absurdness                       荒诞
abundance                        荒诞
abundant                         丰富
abuse's                          丰富
abuse                            虐待
abuser                           虐待
abusive                          施虐者
abusiveness                      辱骂
abut                             辱骂
abutment                         来
abutted                          邻接
abutting                         毗连
abuzz                            毗邻
abysmal                          喧闹
abyss                            糟糕透顶
abyssal                          深渊
ac                               深渊
acacia                           和
academe                          金合欢属
academia                         学术界
academic                         学术界
academical                       学术的
academician                      academical
academy                          院士
acanthus                         学院
accede                           老鼠簕
accelerate                       同意
acceleration                     加速
accelerator                      加速度
accent                           加速器
accented                         口音
accentual                        重音
accentuate                       口音的
accentuation                     强调
accept                           强调
acceptability                    接受
acceptableness                   可接受性
acceptably                       可接受性
acceptance                       可以接受地
acceptation                      验收
accepted                         验收
access                           公认
accessibility                    使用权
accessible                       可访问性
accessibly                       无障碍
accession                        易于理解
accessorize                      加入
accessory                        配饰
accident                         配饰
accidental                       事故
acclaim                          偶然
acclamation                      欢呼
acclimate                        欢呼
acclimation                      适应
acclimatization                  适应
acclimatize                      适应
acclivity                        适应
accolade                         上升度
accommodate                      荣誉
accommodating                    容纳
accommodation                    包容
accompanied                      住宿
accompaniment                    陪同
accompanist                      伴奏
accompany                        伴奏者
accomplice                       陪伴
accomplish                       同案犯
accomplished                     完成
accomplishment                   完成
accord                           成就
accordance                       符合
accordant                        依照
according                        授予
accordion                        根据
accordionist                     手风琴
accost                           手风琴演奏家
account                          招呼
accountability                   帐户
accountable                      问责制
accountancy                      可负责
accountant                       会计
accounted                        会计
accounting                       记账
accouter                         会计
accouterments                    装备
accredit                         饰品
accreditation                    认可
accredited                       认证
accretion                        认可
accrual                          吸积
accrue                           应计
acct                             累积
acculturate                      帐户
acculturation                    文化适应
accumulate                       文化适应
accumulation                     积累
accumulator                      积累
accuracy                         累加器
accurate                         准确性
accurateness                     准确的
accursed                         准确性
accursedness                     被诅咒的
accusation                       诅咒
accusative                       指控
accusatory                       宾格
accuse                           指责
accuser                          控
accusing                         原告
accustom                         指责
accustomed                       习惯
ace                              习惯了
acerbate                         高手
acerbic                          酸
acerbically                      尖酸的
acerbity                         尖刻地
acetaminophen                    酸涩
acetate                          对乙酰氨基酚
acetic                           醋酸盐
acetone                          乙酸
acetonic                         丙酮
acetyl                           丙酮
acetylene                        乙酰
ache                             乙炔
achene                           疼痛
achievable                       瘦果
achieve                          可实现的
achievement                      达到
achiever                         成就
aching                           成就者
achoo                            疼痛
achromatic                       想
achy                             消色差
acid                             疼痛
acidic                           酸
acidify                          酸性
acidity                          酸化
acidosis                         酸度
acidulous                        酸中毒
acknowledge                      酸溜溜
acknowledged                     承认
acknowledgment                   承认
acme                             致谢
acne                             巅峰
acolyte                          粉刺
aconite                          侍僧
acorn                            附子
acoustic                         橡子
acoustical                       声学
acoustics                        听觉的
acquaint                         声学
acquaintance                     熟悉
acquaintanceship                 熟人
acquainted                       相识
acquiesce                        熟悉
acquiescence                     默许
acquiescent                      默认
acquire                          他们会默许
acquirement                      获得
acquisition                      取得
acquisitive                      获得
acquisitiveness                  贪婪
acquit                           贪婪
acquittal                        开释
acquitted                        开释
acquitting                       无罪释放
acre                             无罪释放
acreage                          英亩
acrid                            面积
acridity                         辛辣
acridness                        酸味
acrimonious                      辛辣
acrimoniousness                  尖刻
acrimony                         尖刻
acrobat                          尖刻的言辞
acrobatic                        杂技演员
acrobatically                    杂技
acrobatics                       杂技般地
acronym                          杂技
acrophobia                       缩写
acropolis                        恐高症
across                           雅典卫城
acrostic                         穿过
acrylamide                       首字母缩略词
acrylic                          丙烯酰胺
act's                            丙烯酸纤维
act                              法案
acting                           行为
actinium                         演技
action                           锕
actionable                       行动
activate                         可操作性
activation                       激活
activator                        激活
active's                         激活剂
active                           活跃的
activeness                       积极的
actives                          活跃度
activism                         活性物质
activist                         行动主义
activities                       活动家
activity                         活动
actor                            活动
actress                          演员
actual                           演员
actuality                        实际的
actualization                    现实
actualize                        实现化
actuarial                        实现
actuary                          精算
actuate                          精算师
actuation                        启动
actuator                         驱动
acuity                           执行器
acumen                           敏锐度
acupressure                      敏锐
acupuncture                      指压
acupuncturist                    针刺
acute                            针灸师
acuteness                        急性
acyclovir                        敏锐度
acyl                             阿昔洛韦
ad                               酰基
adage                            广告
adagio                           谚语
adamant                          柔板
adapt                            固执的
adaptability                     适应
adaptation                       适应性
adapter                          适应
adaption                         适配器
add                              适应
addend                           添加
addenda                          待添加
addendum                         附加物
adder                            附录
addict                           加法器
addiction                        瘾君子
addition                         瘾
additional                       添加
additive                         额外的
addle                            添加剂
address's                        糊涂
address                          地址
addressable                      地址
addressed                        可寻址
addressee                        处理
adduce                           收件人
adenine                          引证
adenocarcinoma                   腺嘌呤
adenoid                          腺癌
adenoidal                        腺样体
adept                            腺样体的
adeptness                        熟练
adequacy                         熟练程度
adequate                         充足性
adequateness                     足够的
adhere                           充分性
adherence                        坚持
adherent                         坚持
adhesion                         追随者
adhesive                         粘附力
adhesiveness                     粘合剂
adiabatic                        粘着性
adieu                            绝热的
adios                            再见
adipose                          再见
adj                              脂肪
adjacency                        形容词
adjacent                         邻接
adjectival                       邻近的
adjective                        形容词
adjoin                           形容词
adjourn                          毗
adjournment                      休会
adjudge                          休会
adjudicate                       宣判
adjudication                     裁定
adjudicator                      裁决
adjudicatory                     裁定人
adjunct                          裁决的
adjuration                       附件
adjure                           恳求
adjust                           恳请
adjustable                       调整
adjuster                         可调节的
adjustment                       调节器
adjutant                         调整
adman                            副官
admen                            广告人
admin                            行政
administer                       行政
administrate                     管理
administration                   托管
administrative                   行政
administrator                    行政
admirably                        行政人员
admiral                          令人钦佩地
admiralty                        上将
admiration                       金钟
admire                           钦佩
admirer                          钦佩
admiring                         仰慕者
admissibility                    欣赏
admissible                       可接受性
admissibly                       可接受
admission                        可以接受地
admissions                       入场
admit                            招生
admittance                       承认
admitted                         准入
admitting                        承认
admix                            承认
admixture                        混合
admonish                         混合物
admonishment                     谏
admonition                       警告
admonitory                       警告
ado                              警告性的
adobe                            装饰
adolescence                      土坯
adolescent                       青春期
adopt                            青少年
adoptable                        采纳
adopter                          可采用的
adoption                         采用者
adorableness                     采用
adorably                         可爱
adoration                        可爱地
adore                            崇拜
adorer                           崇拜
adoring                          崇拜
adorn                            崇拜
adorned                          装饰
adornment                        装饰
adrenal                          装饰
adrenalin's                      肾上腺
adrenaline                       肾上腺素
adrenergic                       肾上腺素
adrift                           肾上腺素能
adroit                           漂泊
adroitness                       熟练的
adsorb                           灵巧
adsorbent                        吸附
adsorption                       吸附剂
adulate                          吸附
adulation                        谄媚
adulator                         谄媚
adulatory                        奉承者
adult                            谄媚的
adulterant                       成人
adulterate                       他们犯了通奸罪
adulterated                      掺杂
adulteration                     掺假
adulterer                        掺假
adulteress                       奸夫
adulterous                       淫妇
adultery                         通奸
adulthood                        通奸
adumbrate                        成年
adumbration                      大纲
adv                              轮廓
advance                          前言
advancement                      进步
advantage                        进步
advantageous                     优势
advent                           有利
adventitious                     来临
adventure                        不定
adventurer                       冒险
adventuresome                    冒险家
adventuress                      具有冒险精神
adventurism                      adventuress
adventurist                      冒险主义
adventurous                      冒险家
adventurousness                  冒险
adverb                           冒险精神
adverbial                        副词
adversarial                      状语
adversary                        对抗性的
adverse                          对手
adverseness                      不利的
adversity                        逆境
advert                           逆境
advertise                        广告
advertised                       广告
advertisement                    广告
advertiser                       广告
advertising                      广告商
advertorial                      广告
advice                           社论式的
advisability                     建议
advisable                        可取性
advisably                        可取的
advise                           明智地
advised                          建议
advisement                       建议
adviser                          忠告
advisor                          顾问
advisory                         顾问
advocacy                         咨询
advocate                         倡导
advt                             提倡
adware                           副词
adze                             广告软件
aegis                            锛
aerate                           宙斯盾
aeration                         通气
aerator                          通风
aerial                           曝气器
aerialist                        天线
aerie                            空中飞人
aerobatic                        鹰巢
aerobatics                       特技飞行
aerobic                          特技飞行
aerobically                      有氧
aerobics                         有氧
aerodrome                        有氧运动
aerodynamic                      机场
aerodynamically                  空气动力学
aerodynamics                     空气动力学上
aerogram                         空气动力学
aeronautic                       航空图
aeronautical                     航空
aeronautics                      航空
aerosol                          航空学
aerospace                        气雾剂
aery                             航天
aesthete                         艾里
aesthetic                        唯美主义者
aesthetically                    审美的
aestheticism                     美学上
aesthetics                       唯美主义
afar                             美学
affability                       远处
affable                          亲切
affably                          和蔼可亲
affair                           和蔼地
affect's                         事务
affect                           影响的
affectation                      影响
affected                         做作
affecting                        做作的
affection                        影响
affectionate                     感情
affections                       亲热
afferent                         感情
affiance                         传入
affidavit                        信托
affiliate's                      宣誓书
affiliate                        关联方
affiliated                       附属机构
affiliation                      附属
affiliations                     联系
affine                           隶属关系
affinity                         仿射
affirm                           亲和力
affirmation                      确认
affirmative                      肯定
affix                            肯定
afflatus                         词缀
afflict                          受到启发
affliction                       折磨
affluence                        痛苦
affluent                         富裕
afford                           富裕
affordability                    买得起
affordably                       负担能力
afforest                         负担得起
afforestation                    造林
affray                           造林
affront                          斗殴
afghan                           冒犯
aficionado                       阿富汗
afield                           爱好者
afire                            在野外
aflame                           着火
afloat                           燃烧
aflutter                         漂浮
afoot                            颤动
aforementioned                   在进行中
aforesaid                        前述
aforethought                     上述
afoul                            深思熟虑
afraid                           犯规
afresh                           害怕的
aft                              重新
afterbirth                       船尾
afterbirths                      胞衣
afterburner                      胎盘
aftercare                        加力燃烧器
aftereffect                      后期护理
afterglow                        后劲
afterimage                       余辉
afterlife                        残像
afterlives                       来世
aftermarket                      afterlives
aftermath                        售后市场
aftermaths                       后果
afternoon                        后果
aftershave                       下午
aftershock                       须后水
aftertaste                       余震
afterthought                     回味
afterward                        事后想法
afterword                        之后
again                            后记
against                          再次
agape                            反对
agar                             爱
agate                            以便
agave                            玛瑙
age                              龙舌兰
ageism                           年龄
ageist                           年龄歧视
ageless                          年龄歧视
agelessness                      永恒
agency                           永葆青春
agenda                           机构
agenesis                         议程
agent                            发育不全
ageratum                         代理人
agglomerate                      藿香
agglomeration                    凝聚
agglutinate                      聚集
agglutination                    粘合
aggrandize                       凝集
aggrandizement                   夸大
aggravate                        扩张
aggravating                      加剧
aggravation                      加重
aggregate                        加重
aggregation                      总计的
aggregator                       聚合
aggression                       聚合器
aggressive                       侵略
aggressiveness                   挑衅的
aggressor                        攻击性
aggrieve                         侵略者
aggro                            侵害
aghast                           仇恨
agile                            惊愕
agility                          敏捷
aging                            敏捷
agitate                          老化
agitation                        激荡
agitator                         搅动
agitprop                         搅拌器
agleam                           宣传鼓动
aglitter                         阿格莱姆
aglow                            闪闪发光
agnostic                         发光
agnosticism                      不可知论者
ago                              不可知论
agog                             前
agonist                          兴奋
agonize                          促效劑
agonizing                        烦恼
agony                            痛苦的
agoraphobia                      痛苦
agoraphobic                      广场恐惧症
agrarian                         广场恐惧症
agrarianism                      农业的
agree                            农耕主义
agreeableness                    同意
agreeably                        宜人性
agreeing                         欣然
agreement                        同意
agribusiness                     协议
agricultural                     农业综合企业
agriculturalist                  农业
agriculture                      农学家
agriculturist                    农业
agronomic                        农学家
agronomist                       农艺
agronomy                         农学家
aground                          农艺学
ague                             搁浅
ah                               疟疾
aha                              啊
ahchoo                           为什么
ahead                            啊嚏
ahem                             前方
ahoy                             啊哼
aid                              啊喂
aide                             援助
aided                            助手
aigrette                         援助
ail                              白鹭
aileron                          第二
ailment                          副翼
aim                              病痛
aimless                          目的
aimlessness                      漫无目的
ain't                            漫无目的
air                              不是
airbag                           空气
airbase                          安全气囊
airbed                           空军基地
airborne                         气垫床
airbrush                         空中
airbus                           喷枪
aircraft                         空客
aircraftman                      飞机
aircraftmen                      飞行员
aircrew                          飞行员
airdrome                         机组
airdrop                          机场
airdropped                       空投
airdropping                      空投
airfare                          空投
airfield                         机票
airflow                          机场
airfoil                          空气流动
airfreight                       翼型
airguns                          空运
airhead                          气枪
airily                           空头
airiness                         轻快地
airing                           通风
airless                          晾晒
airlessness                      无气
airletters                       空气不流通
airlift                          航空信件
airline                          空运
airliner                         航空公司
airlock                          客机
airmail                          气闸
airman                           航空邮件
airmen                           空军
airplane                         飞行员
airplay                          飞机
airport                          广播
airship                          飞机场
airshow                          飞艇
airsick                          航展
airsickness                      晕机
airspace                         晕机
airspeed                         空域
airstrike                        空速
airstrip                         空袭
airtight                         飞机跑道
airtime                          密闭
airwaves                         播出时间
airway                           无线电波
airwoman                         呼吸道
airwomen                         女飞行员
airworthiness                    女飞行员
airworthy                        适航
airy                             适航
aisle                            通风
aitch                            走道
ajar                             艾奇
aka                              教
akimbo                           又名
akin                             叉腰
alabaster                        矿
alack                            雪花石膏
alacrity                         呜呼
alarm                            敏捷
alarming                         警报
alarmist                         令人震惊
alas                             危言耸听
alb                              唉
albacore                         白色的
albatross                        长鳍金枪鱼
albeit                           信天翁
albinism                         甚至
albino                           白化病
album                            白化病
albumen                          专辑
albumin                          蛋白
albuminous                       白蛋白
alchemist                        蛋白的
alchemy                          鍊金術士
alcohol                          炼金术
alcoholic                        酒精
alcoholically                    酒鬼
alcoholism                       酒精性
alcove                           酗酒
alder                            壁龛
alderman                         年龄
aldermen                         市议员
alderwoman                       市议员
alderwomen                       女议员
ale                              女议员
aleatory                         但
alehouse                         偶然
alembic                          酒馆
alert                            蒸馏器
alertness                        警报
alewife                          警觉
alewives                         鲱鱼
alfalfa                          鲱鱼
alfresco                         苜蓿
alga                             露天
algae                            藻类
algal                            藻类
algebra                          藻类
algebraic                        代数
algebraically                    代数的
algorithm                        代数地
algorithmic                      算法
alias                            算法的
alibi                            别名
alien                            不在场证明
alienable                        外星人
alienate                         可转让
alienation                       离间
alienist                         异化
alight                           异化论者
align                            下车
aligned                          对齐
aligner                          对齐
alignment                        对准器
alike                            结盟
aliment                          相似
alimentary                       食物
alimony                          食物的
aliveness                        赡养费
aliyah                           活力
aliyahs                          回归
alkali                           阿利亚
alkalies                         碱
alkaline                         碱金属
alkalinity                       碱性
alkalize                         碱度
alkaloid                         碱化
alkyd                            生物碱
all                              醇酸
allay                            全部
allegation                       缓和
allege                           指控
alleged                          指控
allegiance                       据称
allegoric                        忠诚
allegorical                      寓言的
allegorist                       寓言的
allegory                         寓言家
allegretto                       寓言
allegro                          快板
allele                           快板
alleluia                         等位基��
allergen                         阿利路亚
allergenic                       过敏原
allergic                         过敏
allergically                     过敏
allergist                        过敏地
allergy                          过敏症专科医生
alleviate                        过敏
alleviation                      减轻
alley                            缓解
alleyway                         胡同
alliance                         小巷
alligator                        联盟
alliterate                       鳄鱼
alliteration                     头韵
alliterative                     头韵
allocate                         头韵
allocation                       分配
allocations                      分配
allot                            分配
allotment                        分配
allotted                         分配
allotting                        分配
allover                          分配
allow                            遍
allowable                        允许
allowably                        允许的
allowance                        允许地
alloy                            津贴
alloyed                          合金
allspice                         合金
allude                           多香果
allure                           暗示
allurement                       引诱
alluring                         步伐
allusion                         诱人的
allusive                         典故
allusiveness                     暗示性的
alluvial                         暗示性
alluvium                         冲积
ally                             冲积
almanac                          盟友
almighty                         年鉴
almond                           全能的
almoner                          杏仁
almost                           阿尔莫纳
alms                             几乎
almshouse                        施舍
aloe                             救济院
aloft                            芦荟
aloha                            在高处
alone                            再见
along                            独自的
alongshore                       沿着
alongside                        近岸
aloof                            旁边
aloofness                        超然
aloud                            疏离
alp                              大声地
alpaca                           阿尔卑斯山
alpha                            羊驼
alphabet                         阿尔法
alphabetic                       字母
alphabetical                     字母的
alphabetization                  按字母顺序
alphabetize                      字母化
alphabetizer                     按字母顺序排列
alphanumeric                     字母排序器
alphanumerical                   字母数字
alpine                           字母数字
already                          高山
alright                          已经
also                             好吧
alt                              还
altar                            全部
altarpiece                       坛
alter                            祭坛画
alterable                        改变
alteration                       可改变的
altercation                      改造
altered                          争吵
alternate                        改变
alternation                      备用
alternative                      交替
alternator                       选择
although                         交流发电机
altimeter                        虽然
altitude                         高度表
alto                             高度
altogether                       高的
altruism                         共
altruist                         利他主义
altruistic                       利他的
altruistically                   利他主义
alum                             利他地
alumina                          明矾
aluminum                         氧化铝
alumna                           铝
alumnae                          校友
alumni                           女校友
alumnus                          校友
alveolar                         校友
always                           肺泡
am                               总是
amalgam                          是
amalgamate                       汞合金
amalgamation                     合并
amanuenses                       合并
amanuensis                       阿曼努塞斯
amaranth                         阿曼纽西斯
amaranths                        苋菜
amaretto                         苋菜
amaryllis                        杏仁酒
amass                            孤挺花
amateur                          聚集
amateurish                       业余
amateurishness                   业余的
amateurism                       业余
amatory                          业余主义
amaze                            业余
amazement                        惊奇
amazing                          惊愕
amazon                           惊人的
amazonian                        亚马逊
ambassador                       亚马逊人
ambassadorial                    大使
ambassadorship                   大使级的
ambassadress                     大使职位
amber                            大使馆地址
ambergris                        琥珀色
ambiance                         龙涎香
ambidexterity                    氛围
ambidextrous                     双手灵巧
ambient                          双手灵巧
ambiguity                        周围的
ambiguous                        歧义
ambit                            模糊的
ambition                         范围
ambitious                        志向
ambitiousness                    雄心勃���
ambivalence                      雄心勃勃
ambivalent                       矛盾心理
amble                            矛盾的
ambler                           缓行
ambrosia                         安布勒
ambrosial                        美味佳肴
ambulance                        美味可口的
ambulanceman                     救护车
ambulancemen                     救护车人
ambulancewoman                   救护车
ambulancewomen                   救护车女司机
ambulant                         救护车妇女
ambulate                         门诊
ambulation                       散步
ambulatory                       行走
ambuscade                        门诊
ambush                           伏击
ameliorate                       伏击
amelioration                     改善
amen                             改善
amenability                      阿门
amenably                         顺从
amend                            顺从地
amendment                        修正
amenity                          修正案
amerce                           便利设施
amercement                       罚款
americium                        苦味
amethyst                         镅
amiability                       紫晶
amiable                          和蔼
amiably                          可亲
amicability                      和蔼地
amicable                         友善
amicably                         友善
amid                             友好地
amide                            之中
amidship                         酰胺
amigo                            船中
amine                            朋友
amino                            胺
amiss                            氨基
amitriptyline                    不妥
amity                            阿米替林
ammeter                          和睦
ammo                             电表
ammonia                          然而
ammonium                         氨
ammunition                       铵
amnesia                          弹药
amnesiac                         健忘症
